item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,23330874.0,468015.0,120028.0,1266990.0,1308040.0,3151488.0,635079.4166666666,635079.4166666666,635079.4166666666,2994580.0,635079.4166666666,732325.0,635079.4166666666,635079.4166666666,59589.0,13876.0,2024.0,815701.0,707461.0,103750.0,44636.0,893215.0,10368.0,2396416.0,809160.0,29885.0,37418.0,334759.0,123.0,386450.0,401407.0,5166.0,91813.0,635079.4166666666,635079.4166666666,5207.0,635079.4166666666,635079.4166666666,21310.0,40395.0,3864.0,78975.0,635079.4166666666,635079.4166666666,635079.4166666666,635079.4166666666,1203059.0,43332.0,4350245.0,8122.0,95757.0,295925.0
T09,370907383.0,3912037.0,8155452.133333334,9184958.0,4187473.0,41973959.0,3660590.0,5252683.0,8155452.133333334,1201346.0,29873668.0,6948296.0,3296268.0,2516997.0,13429355.0,9282907.0,4002493.0,3767434.0,4558439.0,4048616.0,1909696.0,5458909.0,7785108.0,11190298.0,6698560.0,4230391.0,4119671.0,8155452.133333334,2382381.0,6179597.0,8155452.133333334,12803267.0,2971970.0,15612861.0,9717598.0,919915.0,14393197.0,3116195.0,8155452.133333334,13717681.0,1334931.0,4154363.0,1273575.0,11060457.0,40413873.0,3628512.0,507259.0,6527477.0,19056609.0,1537245.0,6373483.0,734785.0
T10,7557257.0,272021.0,41126.0,89138.0,68024.0,411969.0,53433.0,79109.0,32719.0,6197.0,338642.0,227872.0,45178.0,10980.0,312101.0,58542.0,29798.0,148735.0,174267.0,79279.0,18461.0,38941.0,93206.0,235383.0,101472.0,45761.0,46316.0,46484.0,35338.0,44690.0,13701.0,174692.0,24359.0,271087.0,533809.0,9612.0,118746.0,146821.0,18086.0,445401.0,22112.0,208490.0,20021.0,210708.0,1262775.0,17880.0,12035.0,295471.0,472949.0,17304.0,73778.0,2238.0
T11,8643203.0,0.0,15480.0,258.0,70993.0,0.0,115624.0,222943.0,0.0,2141.0,168200.0,0.0,0.0,0.0,881505.0,608043.0,339345.0,256.0,22.0,686865.0,43368.0,1034508.0,224641.0,157621.0,132221.0,114778.0,354428.0,116507.0,6180.0,764287.0,17936.0,308883.0,68021.0,76.0,16.0,19616.0,219979.0,22652.0,27122.0,1754340.0,16586.0,36213.0,11045.0,24503.0,17514.0,0.0,0.0,5557.0,281.0,27584.0,47.0,5018.0
T12,26293455.0,468162.0,61558.0,680245.0,310009.0,3116772.0,347690.0,181373.0,123324.0,133546.0,1491831.0,538106.0,191516.0,118439.0,513239.0,234753.0,143752.0,450742.0,187041.0,1004261.0,101947.0,757839.0,537405.0,349170.0,650137.0,397786.0,447949.0,138905.0,69558.0,489269.0,138900.0,639103.0,235054.0,2078985.0,725207.0,59178.0,666671.0,448883.0,49633.0,852301.0,146288.0,273744.0,90063.0,1108673.0,2699643.0,165995.0,63343.0,551005.0,683639.0,118061.0,226531.0,36231.0
T13,51477011.0,878038.0,44754.0,844828.0,588223.0,7659320.0,618724.0,469851.0,124842.0,23638.0,2873845.0,1781682.0,70796.0,405050.0,2383666.0,1545597.0,673571.0,445472.0,699875.0,639727.0,231938.0,1025338.0,662932.0,1336795.0,844730.0,449814.0,696002.0,274353.0,415141.0,351627.0,117200.0,386173.0,230303.0,1465180.0,2113248.0,173157.0,2524431.0,571408.0,619333.0,3031113.0,130104.0,838264.0,189881.0,1210808.0,3596892.0,534738.0,109548.0,1421963.0,1518342.0,399542.0,1123970.0,111244.0
T14,156610.0,4112.0,0.0,109.0,1670.0,18974.0,306.0,11738.0,39.0,0.0,7184.0,0.0,0.0,1524.0,7811.0,1589.0,3870.0,0.0,31596.0,5535.0,1141.0,1119.0,1117.0,2656.0,2463.0,0.0,0.0,104.0,180.0,0.0,566.0,0.0,842.0,13939.0,0.0,1663.0,3690.0,1088.0,2336.0,10367.0,393.0,0.0,120.0,0.0,4972.0,0.0,0.0,0.0,883.0,2850.0,0.0,8064.0
T15,12178343.0,663891.0,4361.0,22226.0,255876.7111111111,652621.0,255876.7111111111,256751.0,45518.0,167152.0,1682256.0,255876.7111111111,125221.0,1961.0,1276429.0,207932.0,78826.0,312.0,81185.0,9250.0,21732.0,144260.0,255876.7111111111,38425.0,95402.0,1874.0,255876.7111111111,41015.0,53973.0,37518.0,38200.0,935252.0,34757.0,792610.0,233.0,53465.0,1036909.0,47701.0,18564.0,994326.0,93449.0,28258.0,3236.0,8894.0,725767.0,54890.0,9576.0,495749.0,611339.0,126206.0,354279.0,4592.0
T16,19142532.0,170998.0,61181.0,294155.0,233224.0,1969795.0,227872.0,322806.0,115700.0,22185.0,1100091.0,242897.0,108529.0,48796.0,917043.0,410363.0,200579.0,123410.0,420634.0,268752.0,144593.0,388243.0,398214.0,886370.0,626480.0,140868.0,99418.0,73677.0,55790.0,185039.0,251000.0,601614.0,95230.0,1006782.0,307357.0,26108.0,928292.0,463457.0,377921.0,1292064.0,158682.0,28306.0,52328.0,242926.0,1397304.0,106633.0,77473.0,287856.0,386660.0,171187.0,604097.0,21553.0
T19,54362034.0,645263.0,39382.0,174980.0,293212.0,5388443.0,1548697.0,1351016.0,145781.0,90467.0,986396.0,519077.0,310116.0,76479.0,3765186.0,1497997.0,49883.0,33768.0,935079.0,111228.0,156641.0,1738046.0,725248.0,1729045.0,2052993.0,276090.0,181509.0,77454.0,22081.0,340603.0,400137.0,2023002.0,162039.0,5922833.0,1170712.0,164174.0,2256603.0,157465.0,1273625.0,2315053.0,229443.0,552152.0,143713.0,625892.0,6522820.0,294584.0,468383.0,2134314.0,1282554.0,568575.0,428437.0,3364.0
